0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,Platform,640,346,51,2,150,,
0.4,BoneVRepeat,508,356,40,2,120,58,15
0,BoneVRepeat,508,230,40,2,120,40,15
0.9,Platform,640,346,25,2,150,,
0.4,BoneV,508,316,70,2,150,,
0,BoneV,508,225,70,2,150,,
1,Platform,640,326,25,2,150,,
0.7,Platform,640,336,25,2,150,,
0.3,BoneV,500,257,45,2,150,,
0.4,Platform,640,316,15,2,150,,
0.3,BoneV,500,257,55,2,150,,
0.7,BoneV,497,257,35,2,150,,
1.5,BoneV,133,257,95,0,90,,
0.7,BoneV,500,276,110,2,240,,
0.3,SansBody,HandUp,
0,SansSlam,3,,
0.5,SansTorso,Default,
0,SansAnimation,HeadBob,
0,SansAnimation,Idle,
0.5,SansBody,HandDown,
0,SansSlam,1,,
0.5,SansTorso,Default,
0,SansAnimation,HeadBob,
0,SansAnimation,Idle,
2,EndAttack,,,,,,,
